"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2022","925.72","940.25","952.28","925.85","","-2.00%"
"10/28/2022","944.63","958.00","971.18","942.04","","-1.57%"
"10/27/2022","959.72","952.01","970.19","942.50","","0.87%"
"10/26/2022","951.42","916.43","963.01","914.24","","3.98%"
"10/25/2022","915.01","923.85","934.05","905.94","","-1.06%"
"10/24/2022","924.78","935.00","951.13","920.31","","-0.78%"
"10/21/2022","932.06","913.01","938.62","892.13","","1.98%"
"10/20/2022","914.00","882.89","922.84","878.62","","3.43%"
"10/19/2022","883.67","905.00","915.88","882.81","","-2.63%"
"10/18/2022","907.50","914.50","928.23","903.88","","-0.87%"
"10/17/2022","915.50","897.00","926.88","897.87","","1.87%"
"10/14/2022","898.73","896.28","914.46","890.94","","0.27%"
"10/13/2022","896.28","877.50","907.68","861.25","","1.85%"
"10/12/2022","879.98","886.11","902.06","879.50","","-0.64%"
"10/11/2022","885.62","897.33","908.51","885.50","","-1.42%"
"10/10/2022","898.40","910.50","917.47","894.41","","-1.49%"
"10/07/2022","912.00","920.72","941.16","911.54","","-1.10%"
"10/06/2022","922.14","918.47","933.99","917.58","","0.40%"
"10/05/2022","918.48","930.00","938.00","904.02","","-1.24%"
"10/04/2022","929.99","902.75","942.16","901.45","","3.05%"
"10/03/2022","902.49","859.50","908.29","861.37","","5.06%"
"09/30/2022","859.00","863.75","882.18","856.46","","-0.69%"
"09/29/2022","864.93","863.47","876.19","844.90","","0.18%"
"09/28/2022","863.41","848.17","871.50","837.34","","1.77%"
"09/27/2022","848.36","850.99","868.81","848.62","","-0.43%"
"09/26/2022","852.00","853.54","871.55","851.01","","-0.23%"
"09/23/2022","854.00","900.00","909.50","857.41","","-5.15%"
"09/22/2022","900.39","907.17","919.58","894.15","","-0.78%"
"09/21/2022","907.50","922.50","940.91","907.32","","-1.59%"
"09/20/2022","922.17","919.00","934.75","917.31","","0.35%"
"09/19/2022","919.00","906.21","927.11","897.80","","1.33%"
"09/16/2022","906.96","903.51","913.30","885.44","","0.27%"
"09/15/2022","904.50","906.26","925.77","900.63","","-0.14%"
"09/14/2022","905.79","881.00","917.88","880.29","","3.11%"
"09/13/2022","878.50","906.65","922.07","878.22","","-3.14%"
"09/12/2022","906.97","880.52","913.65","876.57","","2.95%"
"09/09/2022","881.00","879.09","893.66","874.70","","0.19%"
"09/08/2022","879.30","867.00","888.15","862.32","","1.50%"
"09/07/2022","866.34","852.67","873.11","845.04","","1.56%"
"09/06/2022","853.00","846.59","866.81","846.39","","0.86%"
"09/05/2022","845.74","835.33","854.65","833.60","","1.29%"
"09/02/2022","835.00","827.33","849.23","826.51","","0.80%"
"09/01/2022","828.36","845.38","850.94","820.55","","-2.10%"
"08/31/2022","846.15","847.57","860.73","841.22","","-0.16%"
"08/30/2022","847.51","863.00","870.75","847.03","","-1.91%"
"08/29/2022","864.00","864.72","877.16","847.75","","0.06%"
"08/26/2022","863.50","879.99","890.59","862.25","","-1.98%"
"08/25/2022","880.96","876.25","891.17","875.75","","0.48%"
"08/24/2022","876.76","879.51","891.25","868.25","","-0.31%"
"08/23/2022","879.50","876.01","894.03","866.75","","0.41%"
"08/22/2022","875.89","894.52","903.95","867.41","","-2.24%"
"08/19/2022","895.95","911.01","916.68","887.00","","-1.65%"
"08/18/2022","911.00","923.50","937.17","911.75","","-1.35%"
"08/17/2022","923.51","932.00","944.00","920.75","","-1.20%"
"08/16/2022","934.76","932.09","946.69","925.18","","0.17%"
"08/15/2022","933.13","962.95","968.00","924.18","","-3.05%"
"08/12/2022","962.50","955.10","967.50","946.93","","0.68%"
"08/11/2022","956.01","941.60","978.25","943.14","","1.53%"
"08/10/2022","941.63","933.61","953.38","927.99","","0.86%"
"08/09/2022","933.64","940.21","949.25","932.81","","-0.64%"
"08/08/2022","939.66","933.22","953.64","922.88","","0.82%"
"08/05/2022","932.00","926.85","947.75","923.14","","0.61%"
"08/04/2022","926.35","898.50","937.00","896.42","","3.16%"
"08/03/2022","898.01","894.07","907.44","888.00","","0.44%"
"08/02/2022","894.06","909.00","923.25","897.25","","-1.39%"
"08/01/2022","906.66","891.97","919.25","891.55","","1.08%"
"07/29/2022","897.00","888.19","907.80","885.75","","1.00%"
"07/28/2022","888.16","886.55","901.16","880.15","","0.19%"
"07/27/2022","886.48","873.67","894.75","871.50","","1.47%"
"07/26/2022","873.63","878.16","895.91","870.17","","-0.63%"
"07/25/2022","879.17","874.71","889.78","869.10","","0.65%"
"07/22/2022","873.50","871.72","892.50","870.39","","0.20%"
"07/21/2022","871.73","858.01","881.75","850.58","","1.59%"
"07/20/2022","858.07","874.00","889.26","858.78","","-1.87%"
"07/19/2022","874.44","862.85","891.25","857.51","","1.34%"
"07/18/2022","862.86","851.50","883.27","849.90","","1.45%"
"07/15/2022","850.50","846.50","858.20","838.75","","0.82%"
"07/14/2022","843.57","855.12","859.32","830.22","","-1.31%"
"07/13/2022","854.80","845.86","865.97","835.50","","1.06%"
"07/12/2022","845.86","870.02","875.29","843.53","","-2.72%"
"07/11/2022","869.51","897.50","903.75","868.85","","-3.06%"
"07/08/2022","897.00","873.19","906.50","868.70","","2.72%"
"07/07/2022","873.24","856.40","884.75","851.00","","2.03%"
"07/06/2022","855.89","864.83","874.25","845.75","","-1.09%"
"07/05/2022","865.30","884.66","892.57","852.25","","-2.30%"
"07/04/2022","885.66","890.84","895.91","881.14","","-0.38%"
"07/01/2022","889.00","893.50","905.85","866.48","","-0.54%"
