DATE,BOPGTB
2022-05-01,-103663.0
2022-06-01,-99735.0
2022-07-01,-89236.0
2022-08-01,-86782.0
2022-09-01,-90015.0
2022-10-01,-96145.0
2022-11-01,-83975.0
2022-12-01,-92711.0
2023-01-01,-91258.0
2023-02-01,-92444.0
2023-03-01,-83149.0
2023-04-01,-95766.0
2023-05-01,-89803.0
2023-06-01,-88423.0
2023-07-01,-88414.0
2023-08-01,-83700.0
2023-09-01,-85715.0
2023-10-01,-87829.0
2023-11-01,-88348.0
2023-12-01,-88440.0
2024-01-01,-91196.0
2024-02-01,-93183.0
2024-03-01,-93347.0
2024-04-01,-99209.0
